Segment,Make,Model,Vendor,Vendor Name,VENDOR NOTES,Part_ Type,MPN,SKU,Year,unique,match
,Polaris,Wide Track IQ 600,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 Wide Track IQ 600,#N/A
,Polaris,600 Shift 136,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 Shift 136,#N/A
,Polaris,600 Rush PRO-R,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 Rush PRO-R,#N/A
,Polaris,600 IQ LXT,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 IQ LXT,#N/A
,Polaris,600 IQ Widetrack,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 IQ Widetrack,#N/A
,Polaris,600 SwitchBack Adventure,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 SwitchBack Adventure,#N/A
,Polaris,600 SwitchBack PRO-R,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 SwitchBack PRO-R,#N/A
,Polaris,600 PRO-RMK 155,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 PRO-RMK 155,#N/A
,Polaris,600 IQ Racer,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 IQ Racer,#N/A
,Polaris,600 INDY,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 INDY,#N/A
,Polaris,600 INDY SP,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 INDY SP,#N/A
,Polaris,600 INDY Voyager,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 INDY Voyager,#N/A
,Polaris,600 SwitchBack Assault 144,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 SwitchBack Assault 144,#N/A
,Polaris,600 INDY SP LE,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 INDY SP LE,#N/A
,Polaris,600 Rush PRO-S,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 Rush PRO-S,#N/A
,Polaris,600 SwitchBack PRO-S,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 SwitchBack PRO-S,#N/A
,Polaris,600 INDY Voyageur,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 INDY Voyageur,#N/A
,Polaris,600 IQ Widetrak,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 IQ Widetrak,#N/A
,Polaris,600 INDY SP TD Series LE,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 INDY SP TD Series LE,#N/A
,Polaris,600 Rush LX,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 Rush LX,#N/A
,Polaris,600 Rush XCR,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 Rush XCR,#N/A
,Polaris,600 SwitchBack SP 144,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 SwitchBack SP 144,#N/A
,Polaris,600 Voyageur 144,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 Voyageur 144,#N/A
,Polaris,600 SwitchBack XCR,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 SwitchBack XCR,#N/A
,Polaris,600 INDY XC 129,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 INDY XC 129,#N/A
,Polaris,600 INDY SP 129,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 INDY SP 129,#N/A
,Polaris,600 INDY XC 137,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 INDY XC 137,#N/A
,Polaris,600 INDY XCR,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 INDY XCR,#N/A
,Polaris,600 INDY Adventure 137,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 INDY Adventure 137,#N/A
,Polaris,600 INDY SP 137,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 INDY SP 137,#N/A
ATV,Polaris,Sportsman 700 EFI,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 Sportsman 700 EFI,Sportsman 700 EFI
